physician_id,urban_population_perc_in_physician_locality,percent_population_with_health_insurance_in_last10q,physician_gender,physician_tenure,physician_age,physician_speciality
1,0.91,0.89,M,58,83,nephrology
2,0.21,0.89,M,41,71,other
3,1,0.58,M,38,71,nephrology
4,0.96,0.96,M,42,69,nephrology
5,1,0.2,M,38,69,nephrology
6,0.99,0.09,M,42,67,nephrology
7,0.62,0.9,M,47,72,nephrology
8,1,0.26,M,52,80,nephrology
9,0.9,0.29,M,46,73,other
10,0.71,0.42,M,46,74,nephrology
11,1,0.31,F,39,67,other
12,1,0.08,M,37,65,other
13,0.75,0.45,M,47,73,nephrology
14,0,0.43,F,39,65,nephrology
15,0.91,0.13,M,39,67,nephrology
16,0.66,0.86,M,47,73,nephrology
17,0.99,0.92,M,45,71,nephrology
18,1,0.86,M,47,73,nephrology
19,1,0.96,M,46,70,nephrology
20,1,0.86,M,46,72,nephrology
21,1,0.97,M,45,71,urology
22,1,0.97,M,44,70,other
23,0.99,0.96,M,56,85,nephrology
24,1,0.88,M,51,76,nephrology
25,1,0.87,M,47,73,nephrology
26,0.79,0.85,M,45,77,other
27,0.96,0.82,M,44,69,nephrology
28,0.93,0.93,M,52,79,nephrology
29,1,0.84,M,45,71,nephrology
30,1,0.77,M,44,70,nephrology
31,0.97,0.93,M,51,76,nephrology
32,1,0.46,M,58,84,nephrology
33,0.71,0.89,M,54,79,nephrology
34,1,0.92,M,53,78,nephrology
35,1,0.97,M,56,80,urology
36,1,0.96,M,55,78,nephrology
37,1,0.35,M,47,74,nephrology
38,1,0.91,M,40,66,nephrology
39,0.88,0.37,M,38,66,nephrology
40,1,0.04,M,43,68,nephrology
41,1,0.13,M,51,75,nephrology
42,1,0.55,M,48,74,nephrology
43,1,0.97,M,48,74,nephrology
44,1,0.06,M,47,74,nephrology
45,1,0.29,M,45,70,nephrology
46,0.75,0.86,M,58,84,nephrology
47,0.69,0.92,M,44,69,other
48,0.77,0.88,M,42,68,nephrology
49,1,0.02,M,40,67,nephrology
50,1,0.92,M,39,66,nephrology
51,0.83,0.87,M,42,68,nephrology
52,1,0.41,M,41,66,nephrology
53,0.9,0.92,F,39,65,nephrology
54,0.94,0.11,M,38,67,nephrology
55,1,0.48,M,59,85,nephrology
56,1,0.88,M,53,81,nephrology
57,1,0.3,M,47,73,nephrology
58,1,0.18,M,47,73,nephrology
59,0.9,0.96,M,45,71,nephrology
60,1,0.56,M,39,64,nephrology
61,0.69,0.89,M,53,79,other
62,0.95,0.95,M,49,77,nephrology
63,1,0.95,M,47,73,nephrology
64,0.89,0.04,M,43,69,nephrology
65,1,0.93,M,43,69,nephrology
66,1,0.9,M,41,67,nephrology
67,0.83,0.93,M,40,66,other
68,1,0.93,M,39,65,nephrology
69,0.98,0.87,M,38,64,nephrology
70,1,0.83,M,37,65,nephrology
71,1,0.93,F,37,68,nephrology
72,0.72,0.88,F,42,73,nephrology
73,1,0.94,M,38,66,nephrology
74,0.74,0.96,M,50,75,nephrology
75,1,0.58,M,49,75,nephrology
76,0,0.12,M,48,75,nephrology
77,0.78,0.41,M,56,85,other
78,0.92,0.9,M,55,81,nephrology
79,1,0.41,M,51,77,nephrology
80,0.46,0.41,M,44,69,other
81,0.93,0.94,M,44,71,nephrology
82,0.99,0.9,M,42,66,nephrology
83,1,0.98,M,47,73,nephrology
84,0.93,0.91,M,40,66,nephrology
85,1,0.26,M,51,77,nephrology
86,1,0.96,M,50,76,nephrology
87,0.62,0.94,M,45,71,urology
88,0.93,0.91,M,41,67,nephrology
89,1,0.92,F,41,67,nephrology
90,0.97,0.97,F,43,69,nephrology
91,1,0.99,M,56,81,nephrology
92,1,0.96,M,52,77,urology
93,1,0.48,M,51,75,nephrology
94,1,0.16,M,49,75,nephrology
95,1,0.82,M,40,64,nephrology
96,1,0.23,M,55,81,nephrology
97,1,0.94,M,45,74,nephrology
98,0.98,0.98,M,42,72,nephrology
99,0.32,0.18,M,47,73,other
100,1,0.9,M,42,83,other
101,1,0.97,M,41,71,nephrology
102,0.82,0.43,M,39,67,nephrology
103,0.37,0.08,M,51,76,nephrology
104,1,0.51,F,46,83,nephrology
105,1,0.28,M,44,80,nephrology
106,1,0.92,M,43,72,nephrology
107,1,0.56,M,43,68,nephrology
108,0.94,0.87,M,55,80,other
109,1,0.47,M,51,77,nephrology
110,0.99,0.9,M,47,71,nephrology
111,1,0.24,M,44,70,nephrology
112,0.73,0.09,M,58,84,nephrology
113,1,0.45,M,50,81,nephrology
114,1,0.02,M,45,71,nephrology
115,1,0.84,F,44,70,nephrology
116,1,0.44,F,44,70,nephrology
117,1,0.13,M,44,70,nephrology
118,0.55,0.9,M,53,79,nephrology
119,1,0.95,M,52,78,nephrology
120,0.96,0.97,M,44,69,nephrology
121,0.78,0.92,M,47,73,nephrology
122,1,0.91,M,45,72,nephrology
123,0.94,0.11,M,45,71,nephrology
124,0.45,0.59,M,44,69,nephrology
125,0.9,0.05,M,42,66,other
126,1,0.23,M,38,64,nephrology
127,1,0.44,M,41,66,nephrology
128,1,0.91,M,47,73,nephrology
129,0.9,0.27,M,41,69,nephrology
130,0.96,0.97,M,39,75,nephrology
131,1,0.6,M,50,76,nephrology
132,1,0.96,M,56,82,nephrology
133,1,0.94,M,47,73,other
134,1,0.35,M,32,71,urology
135,0.99,0.95,M,44,71,nephrology
136,0.93,0.96,F,49,74,nephrology
137,0.81,0.45,M,57,89,nephrology
138,0.99,0.02,M,48,72,nephrology
139,1,0.97,M,48,73,nephrology
140,1,0.87,M,61,87,nephrology
141,1,0.24,F,43,67,nephrology
142,0.96,0.96,M,51,76,nephrology
143,1,0.39,M,42,69,nephrology
144,1,0.96,M,41,66,nephrology
145,1,0.95,M,49,75,nephrology
146,1,0.97,M,39,64,urology
147,0.97,0.93,M,44,70,nephrology
148,1,0.98,F,40,66,nephrology
149,1,0.03,M,46,72,nephrology
150,1,0.85,M,55,80,nephrology
151,0.93,0.91,M,52,77,nephrology
152,1,0.94,M,47,71,nephrology
153,1,0.39,M,40,72,nephrology
154,1,0.96,M,47,73,nephrology
155,1,0.92,M,57,82,nephrology
156,0.89,0.96,M,42,74,nephrology
157,1,0.92,M,50,75,nephrology
158,1,0.98,M,44,72,nephrology
159,1,0.98,F,41,66,nephrology
160,1,0.96,M,49,79,nephrology
161,0.97,1,F,47,73,nephrology
162,0.65,0.29,M,52,79,nephrology
163,1,0.4,M,51,76,nephrology
164,1,0.3,M,50,75,nephrology
165,1,0.01,M,39,65,other
166,0.76,0.87,M,41,70,nephrology
167,1,0.5,M,55,81,nephrology
168,0.93,0.97,M,54,80,nephrology
169,0.75,0.43,M,53,78,nephrology
170,1,0.88,M,52,78,nephrology
171,1,0.92,M,46,72,nephrology
172,1,0.97,M,45,71,nephrology
173,1,0.97,M,44,69,nephrology
174,1,0.83,M,53,79,nephrology
175,0.53,0.83,M,44,67,other
176,1,0.97,M,43,68,urology
177,1,0.84,M,49,75,nephrology
178,0.92,0.86,M,47,74,nephrology
179,0.97,0.99,M,43,73,nephrology
180,1,0.33,M,55,81,nephrology
181,1,0.43,M,52,78,nephrology
182,0.93,0.97,M,44,73,nephrology
183,1,0.46,M,40,65,nephrology
184,1,0.96,M,41,66,nephrology
185,1,0.81,M,39,65,nephrology
186,1,0.79,M,40,67,nephrology
187,0.51,0.87,M,42,68,other
188,0.99,0.91,F,41,67,nephrology
189,0.96,0.91,M,38,80,nephrology
190,1,0.15,M,60,90,nephrology
191,1,0.9,F,52,77,nephrology
192,1,0.2,M,44,71,nephrology
193,1,0.02,M,51,76,nephrology
194,0.76,0.28,M,47,77,nephrology
195,1,0.41,M,44,71,urology
196,1,0.44,M,43,69,nephrology
197,1,0.26,M,42,69,nephrology
198,1,0.36,M,42,68,nephrology
199,1,0.09,M,41,69,other
200,1,0.52,M,46,72,nephrology
201,1,0.39,M,45,70,nephrology
202,0.72,0.31,M,44,70,nephrology
203,1,0.14,M,41,67,nephrology
204,0,0.52,M,46,72,nephrology
205,1,0.4,M,49,78,nephrology
206,1,0.38,M,45,72,nephrology
207,1,0.03,M,44,69,nephrology
208,1,0.04,M,43,71,nephrology
209,0.81,0.2,M,42,68,nephrology
210,0.93,0.39,M,45,75,nephrology
211,1,0.82,M,45,71,nephrology
212,1,0.59,M,48,74,nephrology
213,1,0.89,M,45,71,nephrology
214,1,0.43,M,48,74,nephrology
215,0.57,0.11,M,48,73,nephrology
216,1,0.88,M,43,72,other
217,1,0.88,M,43,70,nephrology
218,0.63,0.87,M,43,71,nephrology
219,0.82,0.15,M,38,63,nephrology
220,1,0.27,M,38,65,nephrology
221,0.93,0.91,M,49,75,other
222,1,0.24,M,38,64,nephrology
223,0.96,0.97,M,51,76,other
224,1,0.95,M,48,77,nephrology
225,1,0.97,M,61,86,nephrology
226,1,0.85,M,47,71,nephrology
227,0.92,0.96,M,52,75,nephrology
228,1,0.78,M,38,72,nephrology
229,1,0.56,M,53,77,urology
230,1,0.94,M,48,73,nephrology
231,1,0.79,M,46,70,nephrology
232,1,0.94,F,42,68,nephrology
233,1,0.07,M,43,67,nephrology
234,1,0.97,M,53,75,nephrology
235,0.6,0.92,M,45,69,nephrology
236,1,0.29,F,44,70,nephrology
237,1,0.38,M,49,75,nephrology
238,1,0.91,M,47,71,nephrology
239,1,0.96,F,50,74,nephrology
240,1,0.45,F,49,73,nephrology
241,0.77,0.91,M,52,78,nephrology
242,0.78,0.98,M,48,75,nephrology
243,0.8,0.41,M,50,79,nephrology
244,0.99,0.11,M,35,59,nephrology
245,0.93,0.79,M,52,77,nephrology
246,1,0.56,M,51,79,nephrology
247,0.68,0.89,M,50,72,nephrology
248,0.93,0.07,M,46,69,nephrology
249,0.94,0.93,M,41,69,nephrology
250,1,0.94,M,53,78,nephrology
251,1,0.32,M,51,76,nephrology
